record_code;municipality;country;latitude_deg;longitude_deg;temp_celsius;humidity_pct;wind_kmh;measurement_time;origin_code
B-0001;Medellin;CO;6.261520;-75.575842;21.55;50.7;21.85;01/09/2026 06:00;PB
B-0002;Medellin;CO;6.259724;-75.557835;19.28;51.9;4.57;01/09/2026 06:45;PB
B-0003;Cali;CO;3.458315;-76.521803;25.24;89.2;15.84;01/09/2026 07:30;PB
B-0004;Medellin;CO;6.258034;-75.547650;21.10;117.5;25.37;01/09/2026 08:15;PB
B-0005;Cartagena;CO;10.412852;-75.496984;25.08;75.1;14.48;01/09/2026 09:00;PB
B-0006;Cali;CO;-94.220000;-76.492907;18.11;62.0;21.68;01/09/2026 09:45;PB
B-0007;Bogota;CO;4.690298;-74.070083;20.14;45.4;26.59;01/09/2026 10:30;PB
B-0008;Cartagena;CO;10.421381;-75.454667;27.48;74.2;28.33;01/09/2026 11:15;PB
B-0009;Cali;CO;3.472458;-76.530765;18.43;85.6;24.99;01/09/2026 12:00;PB
B-0010;Cartagena;CO;10.376243;-75.509787;25.44;82.9;29.48;01/09/2026 12:45;PB
B-0011;Barranquilla;CO;10.951596;-74.806388;25.32;69.7;7.54;01/09/2026 13:30;PB
B-0012;Bogota;CO;4.674047;-74.092287;28.35;78.9;9.40;01/09/2026 14:15;PB
B-0013;Cali;CO;3.488564;-76.513279;18.93;67.8;23.99;01/09/2026 15:00;PB
B-0014;Cali;CO;3.452647;-76.530490;31.18;50.6;2.35;01/09/2026 15:45;PB
B-0015;Cartagena;CO;10.354850;-75.467627;29.76;47.6;20.89;01/09/2026 16:30;PB
B-0016;Bogota;CO;4.679679;-74.092520;21.12;90.0;15.73;01/09/2026 17:15;PB
B-0017;Cartagena;CO;10.379516;-75.457326;26.73;53.7;8.02;01/09/2026 18:00;PB
B-0018;Cali;CO;3.442151;-76.557282;29.67;64.0;23.70;01/09/2026 18:45;PB
B-0019;Medellin;CO;6.242308;-75.616129;31.27;58.7;1.75;01/09/2026 19:30;PB
B-0020;Bogota;CO;4.693355;-74.051886;25.90;53.9;14.69;01/09/2026 20:15;PB
B-0021;Cali;CO;3.488809;-76.565727;23.14;87.1;26.68;01/09/2026 21:00;PB
B-0022;Cali;CO;3.482259;-76.571806;22.19;93.2;4.27;01/09/2026 21:45;PB
